Description	PHS-30 (clean blank)																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	1/19/2012 15:34																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	40																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
360	177.9429	168.2202	113.333	107.4673	109.2777	102.3219	118.3195	116.5638	126.4858	127.0267	129.1925	131.3335	128.8517	111.3763	90.0078	72.9004	58.4841	44.357	30.9146	20.4866	6.5541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
362	193.7386	158.401	133.3657	113.6657	106.7475	120.649	117.1955	115.3903	124.248	127.9027	128.1581	133.5957	130.0202	118.7768	94.0473	80.2129	66.0877	52.42	39.7956	27.5172	13.5445	1.3189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
364	202.4157	167.7107	134.7261	127.4062	121.3593	122.2368	126.613	125.0928	130.4258	133.2392	136.6876	136.5182	133.5121	122.366	106.4825	87.2632	73.4273	60.6711	48.3872	36.3288	19.5863	9.7859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
366	211.1162	173.3638	154.1441	126.3038	131.4913	125.7139	126.3721	130.9618	133.9739	136.9017	142.0035	140.088	134.4881	131.3588	113.676	94.129	81.0214	68.6934	56.736	44.0029	25.8128	12.9965	3.8598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
368	215.7503	191.638	166.3919	146.1155	137.4962	131.9764	139.8825	135.6065	141.7523	142.3381	144.4775	143.8267	144.2524	135.3488	122.6451	100.8303	88.6481	76.691	64.6009	51.4706	37.2148	19.2732	10.4613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
370	215.1115	196.1194	157.9492	149.1271	151.0283	143.8432	136.4025	138.4062	141.6678	145.9193	152.3836	149.6599	149.1349	141.9419	131.0058	115.3487	96.018	84.4265	71.6937	58.7021	45.6412	28.5879	15.0769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
372	247.8478	216.3233	187.0686	158.0682	160.7484	151.94	149.4062	148.9994	147.7107	151.1324	152.8206	155.4237	157.3315	152.4525	140.2593	124.2396	103.6613	91.8557	78.9518	67.9236	54.7021	36.014	20.8691	8.7226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
374	266.6099	226.9353	203.4402	179.0856	159.814	162.3536	155.6256	157.7586	161.4603	157.2001	160.7923	159.5361	159.6137	160.6423	147.3416	134.5967	111.1354	100.7597	89.821	78.8248	63.5771	45.5907	25.3506	14.8807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
376	276.8366	252.1507	207.8499	181.1134	182.6578	173.7391	162.3655	160.0221	161.7666	163.7092	171.9412	173.1353	175.1563	163.9531	157.3942	141.3722	126.4729	111.248	100.3739	88.6256	72.203	54.0633	36.9674	18.5815	5.7959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
378	291.1689	274.7662	223.6297	202.177	188.9483	181.4426	172.8969	173.0431	167.8146	170.9415	176.7588	182.5057	179.731	175.2704	161.3972	154.0622	136.0583	121.3783	110.5798	98.1087	80.5553	63.6926	43.2347	25.0055	14.1243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
380	321.0312	286.287	244.1339	222.6547	209.7348	198.0216	184.5009	179.3968	184.7612	179.1185	187.2842	188.3649	190.6693	184.019	176.5876	167.2995	147.1426	131.2366	119.7328	106.7412	88.6881	73.0782	53.7829	32.8767	19.5719	4.8448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
382	338.6706	283.2637	256.5699	235.3343	213.6119	204.1297	186.4775	188.9699	191.7237	185.5569	194.5887	194.8759	197.3324	195.5091	186.6262	177.9594	158.9938	141.4663	129.2207	115.0673	100.0547	82.5949	62.4262	42.0989	25.7235	12.9867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
384	353.9479	318.6561	263.9405	260.624	228.2613	215.2882	208.4901	194.8725	197.2955	193.9944	202.2831	206.0428	205.2018	202.8231	198.5061	185.7372	172.5088	155.666	138.5506	123.254	111.24	91.9589	71.2623	50.2102	32.6912	18.7126	2.6461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
386	357.8238	365.0894	289.7134	271.4666	239.1121	222.4335	210.7428	206.8837	210.5907	204.8798	214.279	217.0505	214.0076	213.5493	207.4623	199.2835	185.5937	168.0047	148.2749	134.809	121.8145	101.5479	80.2542	60.1895	40.4749	25.8794	10.8005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
388	384.8781	353.2897	288.4905	284.9568	262.7795	234.8419	225.8439	215.8445	212.1868	213.0385	213.9238	217.3281	223.178	222.5839	219.9657	212.4871	193.4945	181.0704	158.5092	146.8178	131.9111	111.0619	89.5056	69.987	48.6941	33.0326	15.7403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
390	380.7464	356.9158	329.1234	292.066	272.7752	253.0845	232.9956	228.4477	217.4192	227.7889	228.5872	227.5455	241.8064	233.6055	229.622	221.1089	206.5396	195.2071	176.351	158.8233	142.0038	120.5716	98.7528	78.4327	60.5953	39.0409	23.3142	7.8882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
392	433.3428	385.6078	352.9516	312.4686	290.0778	267.7104	250.2575	234.2133	232.6778	228.59	233.1744	239.9925	245.9278	246.7711	238.086	232.9487	221.8721	208.1943	189.1441	169.8022	150.765	129.2988	109.1194	89.1491	67.4095	46.0259	28.2193	14.9209	0	0.3926	0.4613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
394	446.2571	401.6334	358.5368	322.0051	295.475	284.9183	260.9246	250.561	240.3271	237.5896	243.8523	248.3473	253.6551	256.9527	251.1997	242.7778	240.2367	216.7228	205.3945	180.632	161.2481	141.5273	121.2056	99.7263	78.6589	57.6034	36.8309	22.0403	5.4116	1.1701	0.9166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
396	448.121	430.9791	378.4831	336.9184	313.6448	292.4164	268.5182	264.029	247.5269	247.8621	251.6068	258.586	265.1049	268.3725	259.4889	254.2973	242.1224	236.1627	220.4548	196.9003	173.6905	153.8329	133.5343	110.3351	87.6496	66.458	44.1118	28.3608	11.5606	1.9404	1.368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
398	496.2555	442.1046	413.3779	344.6209	333.8936	310.4291	284.6469	268.9092	262.724	260.6799	262.1507	271.6803	277.3738	277.2584	277.566	278.6909	260.0799	250.8038	232.0626	212.6477	186.2998	166.476	145.9694	121.0271	98.4304	77.3365	53.0765	34.1808	20.4884	2.7071	0.9088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400	533.1487	492.3088	437.5558	379.8192	343.4645	319.0798	301.9631	285.2757	270.5813	271.0055	274.7601	281.372	288.8772	294.6371	288.1362	289.1205	275.194	259.9345	246.6252	229.9715	198.8264	179.1361	156.7774	131.9999	109.1407	87.7015	62.5203	40.3627	27.4023	9.6954	0.4528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
402	527.7222	488.7848	434.2745	393.9688	378.9406	340.0656	315.8653	292.0683	285.859	279.5733	283.6724	289.5403	300.064	302.0908	305.7235	301.6011	291.3342	279.8573	261.301	247.201	217.1963	191.3836	167.2251	143.355	119.5744	96.2765	73.3892	51.3752	31.5429	18.6507	0	0.3367	0.3982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
404	568.3981	524.0745	465.1154	423.1423	377.7456	364.7054	330.0039	309.6665	300.3451	294.6664	297.6685	304.8804	314.0543	316.5272	314.1243	314.7551	303.0036	299.0005	277.8727	260.7965	232.2185	203.5019	178.2749	154.5916	129.8991	105.9993	81.9524	58.9925	39.383	24.783	6.7373	1.0048	0.7921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
406	596.0781	522.8568	476.022	433.6804	408.325	371.7998	340.4334	323.2452	309.0097	297.6395	310.0473	309.7825	323.2339	328.2158	327.9759	330.2532	316.4545	314.2922	294.408	274.0258	248.0758	215.8955	189.9174	165.1316	140.154	115.8365	91.3708	67.4204	44.6213	29.2662	13.2277	1.6689	1.1841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
408	628.601	554.4884	486.8862	449.3137	421.5886	388.5657	362.7566	332.1148	320.0375	319.2956	318.4888	327.0136	336.1257	343.2416	341.7122	339.1108	335.8934	326.9858	312.7218	290.3929	265.9423	232.8176	201.8631	175.9321	150.1775	125.8456	102.2716	76.4394	53.9741	36.424	22.3685	2.3329	0.7881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
