Description	ECS-B (clean blank)																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	10/12/2010 10:21																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	3																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
354	21.5557	17.5805	16.3068	15.7448	15.4682	15.3114	15.2303	14.7899	14.7287	14.018	13.4502	12.5086	11.187	9.6994	8.3704	6.943	5.6611	4.3474	2.873	1.48	0.2141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
356	22.5803	20.7343	16.6799	16.3036	15.454	14.8758	15.6851	15.7862	14.685	14.7641	14.055	13.3213	12.3992	10.3577	9.1495	7.9331	6.7145	5.368	3.6395	2.0571	0.8119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
358	23.3316	21.125	18.825	16.7213	16.7212	16.0147	16.006	15.5322	16.0202	14.8172	14.6213	14.1618	13.07	11.7351	10.0838	8.8977	7.7999	6.3559	4.7532	2.9745	1.8412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
360	25.5289	23.9953	19.367	18.9391	18.2409	16.939	16.3427	16.437	16.4313	15.992	15.6243	14.971	14.0135	12.4982	10.9693	9.8751	8.8324	7.2963	5.7689	3.8963	2.3152	0.895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
362	28.1887	23.8877	22.122	19.7661	18.2661	18.1048	17.6648	16.6563	16.9791	16.8092	16.0414	15.7822	14.9959	13.8383	11.8896	10.9078	9.7588	8.3306	6.783	4.8362	2.995	1.6433	0	0.0178	0.0206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
364	28.3858	26.2775	23.9256	20.2445	20.673	18.6685	18.7275	17.5002	17.5527	17.3036	17.6352	16.4763	16.012	14.5549	13.3523	11.9041	10.6524	9.4944	7.7633	5.8379	3.8762	2.3867	0.6859	0.0527	0.0405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
366	32.8164	27.9354	25.5258	22.6912	20.6654	20.6245	19.0125	18.3886	18.5338	18.6282	18.185	17.8465	16.8678	15.7958	14.7124	12.8745	11.6851	10.6268	8.7169	6.7753	4.7588	2.9175	1.6133	0.0865	0.0598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
368	33.7684	30.3225	26.7397	24.0678	22.377	21.1635	19.898	19.5219	19.3457	19.1456	18.9972	18.8316	18.1494	17.0985	15.7968	13.822	12.7726	11.5344	9.634	7.6883	5.6029	3.5516	2.0638	0.1193	0.0393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
370	34.8011	32.9654	27.9645	25.2601	23.7549	22.274	20.9648	19.433	20.108	19.9774	19.9274	19.4798	18.9432	18.3143	17.0764	15.3566	13.8239	12.4113	10.4967	8.5721	6.6394	4.5064	2.6813	1.1506	0.0194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
372	38.4665	34.9255	30.8593	27.6495	24.5806	22.2424	21.2116	21.2693	21.4052	21.4019	20.7747	21.1025	20.552	19.6562	18.4586	16.7252	14.9154	13.3015	11.3882	9.7191	7.7141	5.3817	3.5101	1.8742	0	0.0521	0.0609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
374	40.967	35.9901	30.6923	28.3333	26.7505	23.949	23.1114	22.3151	22.4764	22.34	22.3989	21.769	21.6041	20.9531	19.7913	18.3726	15.9833	14.4051	12.7476	11.0843	8.7668	6.2512	4.1706	2.3625	0.7263	0.1546	0.1205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
376	43.0624	38.2979	33.1439	30.3613	28.6342	25.2954	23.9596	23.6803	23.043	23.4786	23.2989	23.3031	22.8457	22.4823	21.1149	19.4541	17.6109	15.7137	14.0664	12.153	9.789	7.3576	4.8897	3.041	1.4226	0.2549	0.1787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
378	45.4409	40.884	36.1997	31.1238	29.0275	27.0577	25.7793	24.5108	24.5671	24.6832	24.0451	24.721	24.3374	24.2947	22.3814	20.987	18.8142	16.9761	15.3408	13.1846	10.7777	8.4	5.9542	3.687	2.156	0.3526	0.1177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
380	49.2978	41.8512	38.4985	34.1303	30.4804	28.2231	26.7147	25.6825	25.3992	25.6191	25.5476	25.7186	25.635	25.0759	23.8464	21.9082	20.2656	18.2046	16.3275	14.1605	11.7404	9.4159	7.0671	4.5687	2.7932	1.2221	0.0582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
382	48.6956	46.1285	40.2679	34.8714	32.4195	29.1411	28.216	26.9399	26.6509	26.0078	26.9538	26.8866	27.294	26.6137	25.2297	23.8528	22.0861	19.4882	17.3655	15.1507	12.9217	10.4528	7.777	5.3842	3.461	2.047	0	0.0794	0.0928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
384	52.6442	47.3087	41.9171	37.5052	33.2636	31.8029	28.8209	27.6024	27.7832	27.6058	27.7031	28.2385	28.111	27.73	26.7568	25.0602	23.125	20.906	18.386	16.1244	14.0842	11.4731	8.7227	6.4211	4.1483	2.572	0.9201	0.2362	0.1841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
386	52.7051	48.3332	43.2995	38.4824	35.0994	33.0953	30.0239	28.7928	27.9476	28.0961	29.1918	29.5024	29.5171	28.7563	27.9806	26.557	24.5062	22.603	19.462	17.3331	15.2148	12.5236	9.6893	7.279	5.0641	3.2007	1.6446	0.392	0.275	0.0309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
388	57.3422	50.8529	43.327	41.8607	37.0936	33.4758	31.395	29.9662	29.5534	29.1179	30.0704	30.445	31.1811	30.0709	29.2012	27.9557	25.6631	23.5564	20.6064	18.6018	16.3276	13.5516	10.688	8.3556	5.8941	3.9298	2.2887	0.5485	0.2546	0.0617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
390	60.0229	53.7503	47.0851	42.5201	39.241	35.1051	32.8582	31.2989	30.309	31.1286	30.903	31.8153	32.0953	31.7371	30.977	28.9951	27.2188	25.4703	22.411	19.8706	17.4402	14.5794	11.6866	8.99	7.0605	4.6167	2.8879	1.3899	0.2343	0.0925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
392	64.5741	54.9609	48.754	44.5259	40.2763	36.3214	34.0021	32.1252	31.7048	31.7667	32.0526	32.7022	33.4644	33.0448	32.1645	30.7915	29.0112	26.5068	23.9525	21.0124	18.3754	15.5134	12.7666	10.1162	7.7935	5.383	3.5317	1.9346	0.2126	0.2012	0.1285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
394	64.4572	58.0693	50.7824	45.0138	42.0841	38.2706	34.7558	33.4911	32.2826	32.269	32.7126	34.2733	34.7329	34.4757	33.7356	32.1925	30.2205	28.0201	25.2632	22.1387	19.4623	16.7576	13.9893	11.228	8.7981	6.2689	4.2679	2.5964	1.0187	0.3868	0.2553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
396	62.7133	60.3914	52.027	47.8791	43.3893	39.1714	35.7294	34.3132	33.2089	33.6809	33.9762	35.1054	35.6589	36.2102	34.8447	33.5487	31.4661	29.3524	26.9352	23.6736	20.7303	18.0135	15.2203	12.3446	9.6124	7.2604	5.0521	3.3419	1.7022	0.5708	0.381	0.0476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
