Description	EOS (clean blank)																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	10/1/2010 15:27																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	50																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
338	721.4933	714.8573	564.6144	454.279	316.2334	221.0713	204.7501	207.8265	204.8234	171.4831	122.7291	91.8552	62.3308	42.1865	21.3864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
340	616.222	619.2795	508.4029	423.4667	297.7148	215.1528	199.562	196.1983	192.3754	160.8255	127.2762	91.964	67.0476	47.9888	27.6068	10.5307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
342	568.669	563.5095	476.1962	392.274	273.6024	211.3848	195.3719	203.0654	193.2446	166.7131	131.51	92.3728	72.1058	53.4783	33.5544	20.4813	2.7276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
344	495.7365	516.8154	415.5285	342.5657	254.6918	203.9511	197.4998	190.8107	190.5814	162.6019	136.5736	92.6115	76.7691	58.4503	43.8593	29.8508	13.6334	3.1491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
346	468.8868	424.795	420.7214	333.5159	252.2161	192.5	186.2073	185.6541	182.7267	158.6439	140.6663	101.7224	81.2505	63.2064	53.6469	38.74	22.5126	6.904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
348	471.6247	441.2975	375.2281	294.5397	238.7126	206.5571	190.9869	193.2684	186.4476	167.9554	146.0033	116.762	85.6012	72.2802	62.3619	47.2244	30.968	18.1632	6.2778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
350	478.465	409.8432	353.3492	297.3326	237.9158	195.8264	194.1643	187.9244	191.3607	171.6708	142.138	117.6287	89.625	80.8111	69.9401	54.8013	38.9641	25.3643	15.0437	4.9123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
352	440.0212	396.6052	352.0402	288.7652	241.7743	194.3354	192.7884	194.8857	189.0534	172.9554	157.5292	125.5745	110.7659	88.8168	77.0534	61.9307	46.5098	31.0943	19.6823	9.7815	0	0.4283	0.4861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
354	429.6348	365.2519	316.6405	278.1118	219.5155	199.4415	193.8959	190.7725	190.1731	179.0798	155.4928	135.4439	116.0057	96.2824	83.2867	68.6031	57.6032	44.9353	29.2388	17.3177	4.9589	1.2505	0.9461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
356	400.4365	380.406	301.4761	257.6137	221.4256	198.8409	201.4581	198.9428	188.6708	178.7989	162.7943	144.3882	132.3426	103.5627	93.2637	82.8924	71.8849	58.1759	41.5838	25.1074	14.0191	2.0337	1.3848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
