Description	SOS (clean blank)																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	10/1/2010 14:39																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	30																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
382	284.8772	242.7005	224.1093	203.1289	187.2652	173.0674	165.5779	161.7933	156.5011	151.9002	155.3433	156.9277	156.9666	152.0465	149.7705	141.9571	128.9496	114.0608	104.1969	92.8159	79.9878	64.6729	47.3712	32.139	18.7649	8.9744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
384	323.9115	273.0882	234.2741	216.1651	197.7823	182.6015	178.0534	162.7328	164.4011	161.9991	167.5361	164.4895	165.2436	165.5703	159.4229	150.7687	138.1285	126.5394	111.9398	99.6485	88.4501	71.7649	53.9946	38.4568	24.2496	12.9019	0.9622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
386	320.3039	272.152	249.6851	234.9187	205.869	188.9856	181.894	174.401	166.7386	168.697	169.5602	175.9963	176.3576	175.9158	169.1937	163.7506	153.5212	137.1397	119.9997	108.3993	96.4623	79.035	60.7369	44.8718	29.6119	17.5807	6.1409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
388	347.7414	290.4727	258.2189	240.4739	221.5066	199.4105	186.5829	183.6572	178.2104	176.216	180.3551	183.9341	190.2302	181.5461	181.5982	170.2248	160.9965	147.7756	128.4724	117.5174	104.1256	86.1711	67.6758	51.2767	34.0943	22.4712	9.8236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
390	336.503	318.433	282.5581	256.0827	237.1507	214.1204	200.5314	190.6216	188.4932	184.5711	192.4861	194.9892	199.2146	196.1675	193.5805	182.1074	171.7088	159.6902	140.2378	126.6331	111.7859	93.304	74.6116	57.1668	44.8073	27.6145	15.6701	5.0827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
392	386.0608	332.1508	296.0384	259.0778	242.9066	225.1221	209.5109	197.493	196.3727	193.7619	198.416	205.9977	207.9225	205.2537	204.4784	194.5237	184.3729	170.4757	154.8416	134.9329	118.3259	99.8327	82.7075	65.9794	50.251	32.8786	19.8234	9.3472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
394	410.1439	355.1758	301.5768	281.8175	251.4494	230.6166	219.6108	203.7042	204.1513	202.0484	209.1767	212.5315	215.9367	217.4781	214.0234	204.1663	193.5252	182.454	165.6721	143.1196	126.4955	109.651	92.4683	74.6788	57.5283	40.5197	24.5533	14.4727	1.9692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
396	437.1513	362.411	325.2259	285.2048	269.1278	246.8331	229.4414	214.2456	209.9628	212.0105	214.4353	224.2954	231.5416	231.5318	222.9908	217.3224	206.1688	193.9971	176.354	155.7866	136.4765	119.5259	102.5199	83.394	64.691	48.5775	30.6947	18.4392	7.7041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
398	424.3065	400.529	343.0191	311.6719	281.8264	258.1585	242.0915	229.5819	222.6458	220.136	224.5276	237.828	238.7974	240.033	238.0885	229.2135	217.6804	205.8231	188.834	170.5681	146.5878	129.7724	112.6495	92.1673	72.8072	54.4725	36.9202	22.2225	12.7267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400	447.5816	393.9672	348.4443	320.2702	294.5968	274.0883	251.192	236.7806	228.5489	230.4902	236.3068	241.7598	248.4813	253.7745	250.3779	243.8821	233.2672	220.8567	204.3753	182.4452	156.6334	140.0857	121.5194	100.9211	80.8703	60.6087	43.4032	26.5213	17.2255	5.4114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
