Description	E1-25.5 (clean blank)																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	1/19/2012 13:27																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	4																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
376	46.3791	39.8861	35.4516	31.1828	28.3873	25.347	24.3384	24.2592	23.8201	23.8896	23.7272	24.0648	23.1417	22.5475	21.2604	19.2335	16.6641	14.9286	13.3243	11.4388	9.0549	6.5901	4.175	2.3912	0.7618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
378	49.1662	42.3314	36.9429	32.5619	30.6483	27.0477	26.1693	24.7907	24.9013	24.944	25.2437	25.5721	24.9301	24.4688	22.3907	20.804	18.2476	16.233	14.6405	12.4969	10.0593	7.6216	5.1631	2.9879	1.4842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
380	54.3729	46.5636	38.5947	33.7472	32.3221	28.4036	27.2965	26.0258	26.2804	26.3444	26.4855	26.944	25.9948	25.756	24.1373	22.0299	20.1762	17.5026	15.653	13.493	11.0372	8.6267	6.0877	3.7488	2.2504	0.5391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
382	51.9795	48.2079	42.1634	36.6242	32.7832	30.5082	28.8096	27.4854	26.9669	27.6481	28.1242	28.0907	27.7838	26.948	25.475	23.8532	21.6029	18.8229	16.7129	14.4942	12.1398	9.6494	7.0507	4.7557	2.6682	1.4205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
384	57.4635	49.8311	42.4015	39.5148	35.1447	30.8524	29.7725	28.9492	27.9625	28.3247	28.9391	28.9524	28.9719	28.6921	26.7505	24.7828	22.7558	19.9036	17.755	15.4787	13.2245	10.6556	8.0065	5.6369	3.5844	2.0568	0.1365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
386	61.9116	51.7757	44.289	38.7344	36.3222	34.1099	30.3382	29.5709	29.6232	29.0952	29.6283	30.6101	30.3366	29.5074	28.7629	26.7532	24.1377	21.5033	18.8496	16.6045	14.3058	11.6889	8.9803	6.5089	4.3848	2.5596	1.0132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
388	61.9147	56.7115	46.1947	42.3346	37.952	34.1797	32.3365	30.9899	30.3255	30.4732	31.135	32.0779	31.7399	31.0684	29.9522	27.864	25.3059	23.429	20.0097	17.7874	15.3969	12.7205	9.9833	7.4342	5.2508	3.3717	1.6079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
390	67.0867	58.4169	48.7536	44.4554	39.7098	36.8234	33.5632	31.2246	31.3117	31.0871	32.2034	33.2134	33.5154	32.2826	31.5413	29.8343	26.9907	24.5854	21.2937	18.9699	16.4876	13.7518	10.9859	8.4049	6.3059	4.0243	2.3959	0.7331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
392	70.4873	60.3516	53.7105	45.4796	41.5022	38.357	34.8669	33.1678	32.2122	32.0796	33.2117	34.5326	34.5591	34.0959	32.5893	31.1583	28.5916	26.0149	23.0043	20.0313	17.4314	14.6942	11.9761	9.4509	7.1476	4.7124	2.8074	1.3107	0	0.021	0.0247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
394	70.3197	62.8781	55.3725	48.6	43.0036	39.6356	36.1818	33.3901	33.2862	34.069	34.4769	35.0071	35.5462	35.5048	34.7085	32.7866	29.8119	27.7227	24.6362	21.078	18.4241	15.7456	13.0448	10.4833	8.1059	5.7754	3.6888	2.0899	0.4858	0.0625	0.049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
396	73.7487	66.73	58.0035	50.933	45.0531	40.5945	37.1766	35.3985	34.1257	34.7672	35.0945	36.5964	37.2065	37.0196	35.7127	33.6328	31.7939	28.4809	26.425	22.8343	19.4951	16.8089	14.1858	11.5198	8.9861	6.8294	4.5004	2.7742	1.1554	0.1037	0.0731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
398	78.5597	67.4349	60.7208	51.9751	47.0549	41.9366	39.165	36.3777	35.7513	35.4332	36.622	38.1978	38.9192	37.8966	37.5861	35.7645	33.434	30.5906	27.3992	24.5369	20.5872	17.9558	15.3394	12.5656	10.0968	7.5956	5.4255	3.2626	1.8631	0.1447	0.0486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400	78.4682	67.6978	62.4471	55.3821	48.9416	45.2613	40.6025	37.8843	36.9373	36.97	38.4857	39.5174	40.1004	40.6311	39.5572	37.1086	35.2827	32.0966	29.0609	26.1546	21.6719	19.1283	16.3956	13.6798	11.2002	8.5584	6.2718	3.8511	2.5728	0.8626	0.0242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
402	84.5598	74.6962	65.5076	56.2353	51.5473	46.5773	41.2653	39.2717	38.5253	38.7051	39.1294	40.5126	41.6995	42.0888	41.5555	38.9375	36.9448	34.0454	30.5978	28.022	24.1761	20.258	17.4146	14.9115	12.2752	9.6308	7.3133	4.8628	3.1052	1.6898	0	0.0099	0.0117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
404	89.545	77.7017	68.5011	59.6158	52.6639	48.4434	44.3795	40.6638	39.6553	39.7885	39.3902	41.9563	42.6045	42.7616	42.7727	41.3051	38.4594	35.7568	32.4736	29.5297	25.5595	21.3756	18.5759	16.1305	13.3391	10.6299	8.1471	5.6011	3.7513	2.3243	0.562	0.0296	0.0233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
406	88.0017	80.1141	68.2611	62.1647	55.8905	50.3908	44.2616	42.1832	40.8531	40.8206	41.0928	43.2231	44.4135	44.4037	44.2071	42.1277	39.5623	37.4271	33.9476	30.9394	27.275	22.5233	19.8383	17.2159	14.3944	11.6404	9.1743	6.3563	4.3325	2.8482	1.2387	0.0492	0.0349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
408	94.9592	81.1581	73.6779	65.568	57.8256	52.8618	46.6026	43.5666	42.587	42.4365	42.9704	44.3459	45.323	46.3702	45.1002	44.256	41.7936	38.7662	35.5339	32.4814	28.662	24.877	21.1322	18.3285	15.4233	12.668	9.9905	7.3609	5.0641	3.4771	1.9448	0.0687	0.0232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
410	93.6768	84.8253	76.3171	67.4346	59.9073	54.0824	48.2648	44.8551	43.4798	42.2947	43.1928	44.8459	46.4221	47.2285	47.5442	45.7254	43.7105	40.7639	37.3048	34.2445	30.7476	26.1656	22.423	19.389	16.4496	13.7749	10.9499	8.2638	5.842	3.8973	2.4478	0.8695	0.0116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
412	96.5265	88.602	77.7063	68.129	62.2698	55.6091	50.2636	45.7467	44.9704	43.5698	44.3579	46.3705	47.3296	48.7695	48.3445	46.9709	45.2361	41.8943	39.1159	35.6074	32.2866	28.4631	23.7125	20.5074	17.6391	14.9621	11.9075	9.5086	6.7008	4.6757	3.1278	1.6258	0	0.0334	0.0393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
414	101.0107	89.5646	80.4172	71.4277	63.1321	55.7677	51.264	46.9808	44.9255	44.7791	45.976	46.8211	48.3567	49.2923	49.2618	48.2891	46.2236	43.4393	40.4804	37.2257	33.7925	29.5208	25.4715	21.7065	18.8259	15.913	12.8628	10.1049	7.4522	5.3216	3.6513	2.246	0.589	0.1	0.0784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
416	104.0007	93.2073	83.2706	73.6182	65.4005	59.4108	52.5619	48.9643	45.9248	45.6373	46.4869	47.8511	50.212	50.7583	50.9247	49.6276	48.0817	45.3945	42.6006	38.8009	35.5231	31.6112	27.0646	22.9552	20.0556	16.9	13.8473	10.8151	8.3914	6.1454	4.3124	2.8213	1.4463	0.1668	0.1177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
418	105.468	96.3846	83.5854	74.4506	66.0875	61.3199	54.2544	50.8856	47.6976	47.0481	47.5315	48.5956	51.0254	51.9939	52.3174	51.1675	49.7372	46.6481	43.7127	40.6389	36.3919	32.8278	28.9272	24.2618	21.1006	17.9297	14.9532	11.841	9.3131	7.0864	4.7622	3.3962	1.9316	0.2343	0.0787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
