Description	SOS-10																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	10/1/2013 14:14																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	40																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
328	94.0651	44.6258	82.0171	64.3159	77.2805	90.7103	95.4226	91.016	78.2422	48.5325	32.4345	17.5519	9.685	2.2496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
330	85.1085	99.2233	60.5083	60.7764	67.6664	82.1231	93.7182	97.9756	78.3712	46.6434	32.0863	18.5166	11.8742	4.413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
332	114.0774	104.4119	73.8155	64.9965	71.6927	85.482	87.3438	96.2227	86.4911	44.3123	31.3875	20.2053	13.2966	6.4207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
334	61.9457	76.9548	85.8908	68.1733	66.6447	79.3383	84.4719	83.0956	83.524	53.3791	30.6722	21.7547	14.6086	8.2957	2.358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
336	88.6813	98.8153	82.5052	70.3902	68.6706	75.6383	81.0933	88.3939	71.7331	52.0786	29.9706	22.7083	15.9904	10.0483	4.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
338	95.7216	99.1412	65.9443	58.2225	69.2003	78.2896	80.0527	72.9352	71.2195	60.3345	29.2838	23.5823	17.432	12.4571	6.6427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
340	98.7996	103.8966	78.4151	75.6412	73.7341	74.0215	76.8689	73.2763	69.6977	53.6685	37.8414	24.3552	18.7496	14.692	8.574	3.1892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
342	110.3425	63.359	64.4304	71.4478	64.046	65.4381	80.3125	74.1997	67.7347	55.1123	38.7966	25.1636	20.7754	16.602	10.4201	6.2016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
344	119.6135	90.2814	65.9489	69.0034	65.4007	71.0418	77.6032	73.1079	67.6565	57.4662	37.8846	25.887	22.6557	18.1441	15.0716	9.0372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
346	115.8008	70.7399	83.1089	68.0009	68.3348	64.6929	72.1654	70.5255	70.8223	51.8662	41.6148	31.6107	24.4547	19.6189	19.4839	11.7266	2.4447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
348	100.2223	93.276	81.8463	69.8097	62.9264	68.9837	69.7527	68.2197	71.5603	57.8951	46.4241	41.0263	26.191	23.8059	22.7696	14.2928	4.7675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
350	108.3206	111.1596	78.1106	66.6698	70.1616	76.3682	85.713	73.2305	69.1899	58.6749	49.7404	42.6089	27.8071	27.7539	24.9605	16.2482	6.9683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
