Description	ECS-A (clean blank)																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	10/12/2010 10:19																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	3																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
392	76.0042	70.2538	62.4116	54.1358	49.7878	44.4094	40.6648	38.9109	38.6951	38.8214	38.7686	40.0471	40.7771	40.7825	39.7216	38.537	35.9917	33.3292	30.5473	26.8836	23.7241	20.3581	17.0455	13.9157	10.6125	8.0572	5.5645	3.36	1.3348	0.874	0.3492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
394	80.7608	72.0413	64.9604	57.7669	51.2066	46.6394	42.1577	39.8659	39.749	39.6651	40.7829	41.8883	42.3091	42.8729	41.6098	40.1059	37.4597	35.2742	32.2733	28.2586	25.0574	21.8135	18.5182	15.2695	12.0174	9.2389	6.4301	4.378	2.3215	1.2681	0.6939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
396	82.7466	74.7272	66.295	59.705	54.1894	48.5642	44.9407	42.1625	40.7844	40.8933	42.0046	43.1185	44.2531	44.1169	43.1721	41.5533	39.6632	37.1002	33.7359	30.5565	26.5449	23.2864	20.0887	16.6317	13.3022	10.5599	7.6914	5.1146	3.1708	1.6596	1.0358	0.2074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
398	83.6976	78.6028	71.2279	62.3502	56.4307	50.8668	46.9841	43.1554	43.0347	42.6047	43.5486	45.1779	45.5661	45.9181	44.9979	43.5067	41.4485	38.8598	35.6659	32.3782	28.0622	24.8721	21.6785	18.0092	14.7519	11.8882	8.7752	5.8942	4.1079	2.0504	1.1705	0.4134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400	93.5323	82.2615	70.9743	65.3166	58.6775	53.0033	48.9723	45.5581	44.0352	43.2728	45.0459	46.357	47.7249	47.9388	46.85	45.4608	43.1877	40.8268	37.3931	34.0717	29.5702	26.4924	23.0724	19.4225	16.1928	12.9291	9.8609	6.8103	4.9046	2.8531	1.3042	0.6179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
402	94.7143	86.0465	76.1188	67.806	61.2658	54.4419	48.906	46.5714	45.4046	45.0231	46.7168	47.8036	48.7267	49.5733	49.1584	47.4682	45.5214	42.5261	39.1493	36.1399	32.0855	28.0542	24.4155	20.8798	17.5946	14.4612	11.1645	8.0862	5.5163	3.7518	1.4346	0.8587	0.2884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
404	94.7049	87.3901	77.8761	70.8149	62.9569	56.9936	52.052	48.2281	46.7976	46.4959	47.7347	49.1437	50.3342	50.9073	50.4195	49.3253	46.6771	44.3902	41.1644	38.0453	33.9048	29.6004	25.835	22.3225	18.9825	15.6691	12.2592	9.0246	6.4747	4.5544	2.3174	1.1358	0.5739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
406	97.9999	89.1786	80.5776	74.1462	65.8383	59.4791	53.1763	50.0446	48.821	48.0459	48.7475	50.4433	52.3589	52.4835	52.3955	51.2751	48.9697	46.102	43.2691	39.6816	35.8565	31.1895	27.3365	23.745	20.332	16.8963	13.5161	10.2424	7.2135	5.3331	3.0089	1.4127	0.8579	0.1452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
408	102.3204	93.7192	84.7069	75.6384	68.7069	61.5048	55.8603	51.5558	49.5738	49.8332	50.738	52.5409	53.4054	54.5119	54.0739	53.121	50.6973	48.3934	45.5165	41.5272	37.7571	33.4721	28.8835	25.2064	21.5889	18.1502	14.8258	11.2658	8.4046	6.0363	4.004	1.6908	0.908	0.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
410	105.7104	96.5297	86.7249	77.6527	71.3104	62.6566	56.8915	53.3058	51.3173	50.5917	52.2816	53.7072	54.9843	55.8801	56.138	54.7813	52.9482	50.189	47.4685	43.818	39.7086	35.3767	30.4276	26.5378	22.8432	19.5459	16.0966	12.5602	9.4594	6.877	4.6552	2.5487	0.9579	0.4344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
412	111.3857	99.9019	91.4492	83.1349	74.4696	65.3972	59.2864	54.8202	52.6951	51.881	52.3934	54.7287	56.8359	57.1493	57.651	56.4103	54.1904	51.8938	48.9344	45.7654	41.6027	37.1324	31.9713	27.9525	24.3873	21.0849	17.366	13.912	10.6126	7.7833	5.5691	3.4122	1.0077	0.6734	0.2817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
414	112.9311	104.397	89.5287	83.8443	76.1013	68.6529	60.9646	56.0427	53.8239	53.6801	54.5771	55.7065	57.0336	58.0398	58.4437	57.9029	56.1988	53.937	50.7391	47.3302	43.4199	38.8958	34.291	29.5123	25.9287	22.3481	18.6329	14.8073	11.4965	8.7907	6.4665	4.1149	2.0694	1.0065	0.5627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
416	115.291	106.7131	95.4682	86.683	79.0354	69.4377	62.4753	57.9302	55.9342	54.6178	55.0315	57.114	58.7304	59.5116	60.2422	59.6763	57.7319	55.6071	52.7178	48.9867	44.6126	40.7319	36.0304	31.1408	27.5305	23.6628	19.9428	16.26	12.7176	9.9377	7.2133	4.8124	3.0712	1.3418	0.8447	0.1916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
418	121.7224	108.818	97.4591	90.4865	81.3967	72.5035	65.239	59.7464	57.4166	55.8359	56.0812	58.4582	60.0914	61.3083	62.0589	60.9684	59.6765	57.5033	54.5598	51.1914	47.0942	42.7993	37.9316	32.8492	28.9271	25.0382	21.3953	17.5446	13.8584	10.9164	8.072	5.5719	3.7557	1.6815	1.0102	0.3843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
420	120.7539	111.8295	101.221	90.7892	82.767	74.657	67.6694	60.836	58.2721	57.3723	57.5559	58.8752	61.4358	62.328	62.9958	62.5694	61.2581	59.5286	56.515	53.3547	48.7513	44.2359	39.5264	34.5699	30.425	26.6052	22.8524	18.838	15.2909	12.081	9.0207	6.3876	4.5667	2.6389	1.1767	0.5783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
422	122.2312	112.2529	103.4259	93.675	86.3248	74.9736	69.2168	63.6972	59.2605	58.2291	58.5015	60.0859	62.3844	63.5884	64.8085	64.387	63.1786	61.1622	58.469	54.8617	50.8433	46.24	41.4505	36.6185	32.0334	28.1905	24.1315	20.1452	16.1547	13.0311	9.9872	7.1278	5.2619	3.4425	1.3445	0.8641	0.3325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
424	126.1084	116.9426	105.8097	95.5055	89.3292	80.0815	70.4358	64.0465	60.6936	59.4745	59.6664	61.4116	63.042	64.4767	65.8056	65.726	64.6477	62.6053	60.0544	56.6823	52.5498	48.0896	42.7719	38.3138	33.6539	29.5922	25.4198	21.4619	17.3693	13.9481	10.9453	8.0007	6.0393	3.9893	2.2498	1.2426	0.6673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
