Description	E1-2.5																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	10/1/2013 12:53																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	10																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
376	58.554	46.2758	37.071	33.275	28.6702	24.0208	23.142	21.3807	21.3429	20.9464	20.8156	21.4127	20.4871	19.5531	18.4788	17.1114	13.7679	11.5935	10.3233	8.6001	6.2814	3.9241	1.0723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
378	58.7316	49.4042	42.3141	36.9855	29.5724	25.7858	24.0457	22.8815	23.2307	22.2169	22.5851	23.333	22.3842	20.4	19.6751	18.0392	15.3048	12.9215	11.66	9.5072	7.158	4.9319	2.3828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
380	59.0588	50.6535	43.9444	37.9764	31.7553	27.0154	26.8624	23.7274	23.2363	23.9071	23.4303	23.4462	22.8715	22.1562	21.0427	19.9551	17.0598	14.2143	12.5232	10.3668	8.0118	5.9144	3.5215	0.8138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
382	52.8332	54.1285	47.0438	39.5436	32.8499	29.7742	27.4263	25.5134	25.138	24.0646	25.0329	24.9138	24.5864	24.1402	22.3955	21.1495	19.132	15.5424	13.4229	11.2307	8.9632	6.9028	4.9115	1.8213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
384	61.496	54.8693	46.1528	39.8376	34.0238	29.3384	28.0512	27.0611	26.9366	26.021	25.8475	26.701	26.4291	24.6515	24.6157	21.8171	20.3951	17.1408	14.307	12.0799	9.8989	7.8753	5.7188	3.4558	0.6455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
386	58.3687	52.7713	47.237	42.7238	35.4561	31.1795	28.8952	26.6297	26.3436	26.7571	27.3635	27.8228	26.4509	26.3691	24.5059	24.0061	21.7729	18.2531	15.2323	13.0429	10.8783	8.8646	6.5371	4.3304	1.7738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
388	73.3929	59.4011	46.3711	44.0016	39.8372	32.4924	31.0901	28.7839	27.2987	27.8508	27.6727	28.3507	28.8602	26.8449	27.6841	24.7895	22.5716	20.334	16.2097	14.0499	11.9126	9.7262	7.3759	4.9675	2.352	0.2658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
390	64.8597	57.8074	52.8803	46.8461	40.3911	34.4919	29.6381	29.3453	28.9631	28.9899	28.5406	30.8342	30.7901	29.6671	27.8597	26.0651	23.7687	21.9547	18.5102	15.056	12.9461	10.5871	8.2139	5.9918	3.9848	1.0491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
392	74.5858	65.2908	56.5817	48.6746	40.8683	37.6012	30.8634	31.6971	30.301	29.7484	29.0708	31.8142	31.0467	30.1714	28.6269	27.3569	24.4549	23.3152	20.3476	15.9654	13.7377	11.3789	9.1692	6.9194	4.5496	2.1362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
394	71.3419	65.2551	55.7324	50.1158	43.0779	36.8942	33.7522	30.3847	30.7142	31.1507	31.5772	32.603	32.2705	31.1858	30.6755	28.5109	27.4375	24.4959	21.2631	16.8618	14.6968	12.5113	10.1947	7.8346	5.5896	2.8354	0.796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
