Description	Bog1 (clean blank)																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	10/1/2010 14:32																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	60																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
370	894.6635	814.3383	726.7062	669.1525	605.952	573.6489	552.7207	554.0556	548.4017	535.1465	549.5329	563.9779	575.6094	564.8423	542.6925	509.308	470.927	425.9298	358.138	289.7648	221.2688	153.5892	96.5557	50.0313	16.2925	7.4502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
372	967.0479	873.7268	800.0893	732.1227	655.5973	618.9632	594.585	583.2927	577.098	586.3294	592.9525	611.315	619.9157	611.799	593.6694	552.6703	511.8874	457.1174	388.9908	331.4604	260.4089	179.763	120.0696	73.3068	17.2764	12.6742	6.1901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
374	1043.4569	943.7473	832.2919	785.5631	709.5291	670.3465	640.2654	615.1546	622.2484	627.4167	638.5449	651.0342	672.9047	662.4819	647.9719	605.8616	552.0024	497.4157	440.1389	382.7201	298.7841	212.0006	145.5199	92.6787	44.8027	20.6043	12.2575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
376	1153.0753	986.3318	910.8679	826.6541	760.9306	697.1609	674.3272	658.5409	653.4679	662.2934	675.0661	697.2134	718.7149	705.8542	686.6081	651.5622	599.75	546.8564	489.8544	423.3412	336.0973	244.4658	172.7931	112.3947	65.603	28.3489	18.1861	3.8696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
378	1200.0301	1081.7361	984.1297	880.1105	823.5382	760.1808	733.5876	708.7399	704.961	702.7776	720.6689	742.4271	762.4517	773.3574	750.2553	706.2284	652.0977	594.6517	537.9855	462.6252	372.2375	283.9043	201.5766	139.4718	88.4993	35.8872	20.8674	7.647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
380	1272.3709	1178.2799	1016.865	942.3625	888.0225	810.5128	786.3581	752.1694	744.774	750.0212	769.8733	803.2599	826.5161	814.1226	805.8286	764.9763	709.6073	641.2244	575.7421	499.1194	407.4576	322.3804	233.094	163.4733	109.5035	61.6387	23.4785	11.3321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
382	1374.5632	1244.8036	1091.504	1012.6818	917.7823	874.5218	809.1144	786.3742	778.2205	787.8688	819.7129	852.2545	867.4163	870.8671	857.6086	820.4598	759.1503	689.7409	615.2952	535.3307	449.4099	361.5407	270.0629	192.0321	134.1227	82.6347	26.138	16.5984	6.2591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
384	1394.9072	1262.9893	1187.7921	1054.0198	992.09	906.3828	871.6202	838.8709	825.9605	832.5638	869.5362	900.5436	922.9767	930.3225	915.8262	867.8001	808.5623	738.7787	654.2243	570.969	490.7297	400.1131	305.2236	224.5437	156.2112	100.2459	45.7259	23.3751	12.4216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
386	1489.1837	1357.3633	1202.4362	1092.5919	1033.0289	943.2093	917.3532	865.3499	861.3462	867.6012	907.4362	946.8761	975.2538	978.22	957.4762	922.4324	862.7442	787.8339	695.1456	613.9828	532.1263	439.7414	341.1225	257.0638	183.4557	122.8201	70.627	30.1563	18.5561	4.053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
388	1546.3512	1409.3731	1299.4642	1175.4665	1091.0045	1018.1679	940.1573	915.0901	904.7141	905.5439	947.2561	980.6097	1026.156	1025.4103	1008.7444	967.3477	910.5532	835.7932	738.5583	659.1764	574.1021	477.9578	378.1781	288.9123	210.3627	146.4139	88.4088	37.0185	21.7421	8.1023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
390	1662.3589	1485.3542	1369.4472	1258.9056	1135.1908	1065.1177	995.403	971.1463	945.149	956.4343	993.972	1025.1985	1088.3289	1078.8065	1072.15	1029.6245	973.1182	896.2941	804.7753	704.4143	616.1126	516.1989	415.2555	321.373	249.0227	173.44	110.9333	59.3802	24.925	12.148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
392	1699.6573	1583.7087	1405.6244	1298.246	1191.4638	1100.21	1043.6056	999.0006	1004.3725	985.443	1026.4905	1078.4404	1124.2799	1138.7809	1123.805	1088.0631	1022.2096	955.2058	853.196	745.1553	651.1919	551.12	456.9989	362.0779	276.4924	198.8516	128.1199	77.54	27.9375	17.7487	6.6705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
394	1797.841	1643.844	1476.3213	1335.8432	1252.8124	1135.9581	1088.386	1055.3826	1007.9542	1024.9687	1074.6506	1117.8741	1172.7134	1192.3709	1181.2476	1142.5098	1088.269	1007.3215	905.7441	785.3778	693.5451	600.7323	504.0149	402.2967	307.1926	226.2402	154.5784	95.1629	47.8634	24.9214	13.2558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
396	1864.9927	1703.3326	1512.0911	1395.6168	1291.6863	1223.6537	1156.3764	1073.5659	1059.9735	1076.9559	1105.8411	1168.7056	1220.0763	1244.807	1247.3359	1204.8539	1154.3862	1062.2157	961.9045	841.0094	744.2324	650.7761	548.2306	442.7174	343.0524	259.133	175.9645	112.7605	65.7713	32.0502	19.7864	3.6003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
398	1926.1558	1763.5569	1590.1812	1495.1854	1373.4541	1267.8829	1160.3553	1130.0115	1116.8962	1112.8765	1167.981	1224.0791	1281.1358	1308.5136	1303.2442	1271.244	1208.5437	1130.3017	1017.5555	911.0892	795.7438	698.3012	592.9917	483.5386	382.6713	295.3997	208.2475	133.1723	85.7401	39.1685	21.5183	7.1759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400	2097.1556	1829.9186	1664.0266	1536.1343	1418.1029	1311.909	1240.4836	1170.5838	1154.6944	1157.0873	1203.7756	1271.5239	1326.6163	1362.1353	1359.9761	1325.3552	1271.2598	1193.1389	1084.3532	967.5834	846.9935	743.9789	634.3907	524.226	422.072	326.2096	236.9812	155.0958	103.885	56.6053	23.2376	10.7267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
402	2120.6165	1923.9234	1714.7455	1625.4139	1497.8279	1382.1233	1284.9911	1208.4386	1190.4637	1198.7815	1253.1142	1319.346	1382.407	1405.256	1416.6126	1386.272	1337.4646	1251.877	1134.2516	1032.4348	895.3103	788.0375	674.3868	563.8942	460.4556	361.6476	263.1478	182.5439	119.033	73.8137	24.9017	15.0788	5.2106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
404	2264.4107	2009.7568	1832.9971	1659.5953	1560.5718	1459.7842	1328.3501	1248.7472	1258.4201	1249.2365	1280.6647	1358.6702	1426.0179	1453.2996	1476.6808	1441.4063	1390.608	1303.7713	1195.3162	1086.0086	956.0251	831.6776	714.1833	603.1853	498.4763	394.0637	297.7873	208.5286	138.669	90.3146	42.1478	20.2314	10.3674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
406	2231.6605	2113.9377	1908.4242	1725.4208	1624.2353	1475.9032	1380.577	1302.1896	1299.4264	1266.3149	1321.5428	1401.536	1463.4739	1512.1007	1529.81	1501.8927	1440.5022	1370.0576	1258.2199	1144.6989	1021.5764	876.5607	755.1135	642.1571	535.1964	426.9658	324.7681	235.1271	157.5646	107.2033	57.8907	25.3769	15.4994	2.5608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
