Description	Scan series EEM_1.prn through EEM_53.prn																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	1/19/2012 13:32																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	25																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
368	143.119	102.8653	95.4374	87.4213	86.7248	86.9837	82.8893	76.384	76.1459	76.0783	76.2	77.0111	77.2532	69.4517	62.71	52.2294	48.5521	44.0751	36.7307	28.7958	18.3667	9.7466	3.4275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
370	144.7218	123.5077	100.1496	96.7833	89.8913	85.4312	83.8265	80.1533	81.8398	81.4511	83.765	81.8138	80.0998	75.528	73.2012	63.8524	53.6623	48.4438	40.7381	32.8893	25.0117	13.6926	6.738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
372	168.4398	134.3775	113.4766	108.5183	101.3122	93.1774	86.1813	84.7988	89.5423	88.1245	87.1262	88.1259	86.9848	84.4503	77.5687	72.6664	58.9016	52.6389	44.8398	38.8815	30.7285	19.7158	10.5626	3.0978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
374	190.3441	135.0811	123.2759	113.933	105.0791	103.76	96.4904	93.7406	90.12	93.506	91.6195	92.7186	91.4632	92.5866	82.7204	78.8643	64.0276	58.4427	52.5295	46.5767	36.3287	25.3562	13.6871	6.8297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
376	191.1354	162.4281	145.6129	122.8178	116.6348	104.8371	100.0509	99.6382	98.8067	97.7989	100.7646	101.6556	99.0277	97.7166	91.5375	83.9814	74.5272	65.8944	60.008	52.22	41.7759	31.0554	17.5928	9.9669	1.5494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
378	198.4192	170.0015	154.6195	132.5791	117.5376	117.8063	110.5188	103.1778	104.0832	104.5048	105.5208	109.8114	107.7424	106.6508	100.5415	92.5612	82.6598	73.1073	67.2537	57.6786	47.0546	36.5887	23.703	12.8471	6.2323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
380	207.5523	184.4318	155.8138	147.3196	134.9674	123.7998	116.2999	109.8569	108.4073	111.1413	111.9648	114.3278	114.6062	115.0468	105.0522	101.6365	90.5502	80.131	72.4938	62.877	52.1957	41.9817	28.4254	17.4064	9.4875	0.7121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
382	236.815	198.5606	174.5135	157.381	139.7546	130.4263	122.7184	120.0782	116.4036	117.0515	121.3366	122.4201	120.6019	121.5402	116.599	108.0869	98.8301	87.3628	77.942	68.1286	59.1096	47.4498	33.7455	21.4313	11.5909	5.4136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
384	225.0197	208.9612	178.0355	161.5855	148.1265	142.3229	134.3686	125.3757	123.4341	124.1422	125.8663	128.1977	131.7932	130.0912	126.9411	116.8841	108.2343	94.6605	83.2988	73.2928	65.9133	52.8298	39.1538	28.4101	16.4658	9.1419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
386	258.6458	224.1305	191.1116	174.1492	154.2152	147.7118	137.5283	131.6835	130.0818	132.265	132.7183	138.8949	140.9559	136.0977	131.4322	126.0905	115.0041	103.7471	88.8953	80.3144	72.1747	58.3387	44.6412	32.9026	20.4491	12.2497	4.274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
