Description	E1-50																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	10/1/2013 13:11																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	5																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
360	44.6346	39.3254	34.8284	28.9958	24.7856	21.5034	22.0423	20.7701	20.2051	18.7325	18.25	17.8751	16.8838	15.0352	12.8716	11.426	9.8577	8.0067	6.0871	3.9306	1.8463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
362	49.0834	41.5318	35.3252	29.9238	25.9354	23.1634	21.6604	20.519	21.3053	20.2418	19.4046	19.0689	18.3766	16.2657	14.1819	12.6917	11.0774	9.3281	7.3322	4.6154	2.8264	0.7034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
364	53.8056	43.0869	39.3059	32.3094	28.8554	24.8653	24.6175	22.0677	22.0054	21.4759	21.1322	19.933	19.101	17.7817	15.759	13.9129	12.2547	10.7467	8.5359	6.097	3.6978	1.9603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
366	55.3465	45.7902	40.6849	34.6819	29.7816	25.8982	24.2098	24.4685	23.8942	22.2887	21.8044	21.7511	20.3448	19.3421	17.0389	15.1019	13.5402	12.1264	9.7063	7.2968	4.971	2.4917	0.9187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
368	52.3266	49.6962	43.292	38.3708	31.1408	27.9668	26.936	24.1442	23.9997	23.5707	23.2877	23.5526	22.2736	20.4865	18.8075	16.2622	14.8624	13.2381	10.8471	8.4647	6.0808	3.4861	1.6767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
370	58.9802	55.9621	44.1777	38.177	33.0919	29.2184	28.1945	26.6333	26.2551	25.0369	25.1707	24.0664	24.1888	22.0141	20.9583	18.2465	16.1405	14.3123	11.9519	9.5956	7.233	4.4492	2.3463	0.1578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
372	61.3946	58.4812	47.2027	41.3202	35.7625	30.443	28.875	27.229	27.0624	26.5369	26.3893	26.1799	25.7496	24.1376	22.3167	20.2051	17.464	15.4293	13.0863	11.1023	8.5333	5.174	3.2515	1.4915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
374	65.7622	59.5922	52.4764	45.7444	38.8439	33.6617	30.871	29.6782	27.4389	28.4607	27.715	27.7418	27.9106	26.1992	24.1005	22.0382	18.7585	16.8812	14.9106	12.9326	9.8068	6.8578	4.1261	2.2102	0.0024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
376	68.3674	60.987	51.752	45.5114	39.3321	34.4525	31.7506	30.6417	29.551	30.0587	29.9649	29.9711	29.2316	27.9368	26.2162	23.5667	20.7739	18.6412	16.6823	14.1494	11.044	7.973	5.0461	2.8777	0.6969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
378	70.7441	63.4666	55.6308	48.7838	41.6707	38.0063	34.228	32.6592	31.7237	31.5115	30.6858	31.7264	31.3904	30.3327	28.0607	26.3079	22.9079	20.3415	18.3963	15.3231	12.2413	9.3537	6.3534	3.6962	1.8043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
380	74.7608	64.198	56.1971	52.7938	45.3979	40.2824	35.5926	34.8227	33.3469	33.0959	32.3442	32.9258	33.5073	32.6248	30.4532	27.9546	24.7445	21.9966	19.5109	16.4666	13.407	10.6995	7.4997	4.666	2.6432	0.6566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
382	78.4029	69.1157	62.6183	50.6372	46.5302	41.7104	38.1699	34.9027	35.1961	34.1578	35.7891	35.4114	35.0689	34.3782	32.9595	30.2643	26.9334	23.7143	20.6873	17.6601	14.9421	12.0652	8.9479	5.543	3.0412	1.5576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
384	82.6751	77.0694	66.7189	55.745	47.3937	41.8718	39.3571	37.3323	37.2126	36.5528	36.3639	37.1699	37.0575	36.0892	35.2132	31.4974	28.7314	24.8836	21.8436	18.8335	16.4527	13.409	10.0914	6.7327	4.1492	2.2347	0.0612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
386	82.5424	76.5932	66.2755	59.0129	50.6782	45.7069	40.9885	39.1273	37.4707	37.5248	38.3243	39.0154	38.7956	38.1818	36.1106	34.6706	30.3543	27.3755	23.0658	20.3969	17.9245	14.7861	11.2583	8.1565	5.2365	3.1976	0.945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
388	85.6207	76.6198	70.211	62.3043	55.1534	47.3839	42.8161	40.6754	38.9845	40.2117	39.4866	40.7451	41.0054	40.112	38.3374	36.1796	32.5683	28.9568	24.3686	22.0299	19.3758	16.0242	12.4621	9.1115	6.1999	3.9162	1.8783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
390	88.9531	80.5671	74.8444	64.5789	55.8211	50.9378	45.0068	42.7453	40.8746	40.8329	41.6894	43.1147	43.1434	42.3213	41.2983	37.6378	34.8555	31.2556	26.6966	23.6626	20.8266	17.2617	13.6653	10.3069	7.4446	4.6626	2.5755	0.7393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
392	97.5926	88.4227	74.5494	66.3632	59.4826	50.7326	47.0544	43.4557	42.1197	42.5769	43.3018	44.3049	44.7472	44.4866	42.6679	39.6203	36.4919	33.1276	28.8852	25.1433	21.9528	18.388	15.0092	11.619	8.4882	5.5888	3.4798	1.5104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
394	104.9555	88.1532	78.2768	69.2657	61.2182	53.5162	47.6872	45.5614	44.0464	42.6691	44.842	46.456	46.4616	46.2984	44.6192	42.179	38.4141	34.8841	30.8589	26.6037	23.3032	19.97	16.5085	12.914	9.7842	6.7352	4.3564	2.4158	0.3265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
396	100.4049	93.5041	82.5291	71.744	62.0157	55.0654	50.0021	47.5839	44.3867	45.2672	46.0279	47.634	48.6708	48.4146	47.0899	43.6969	40.8675	36.4877	32.797	28.4691	24.9124	21.5644	17.9051	14.2138	10.7303	8.125	5.2462	3.12	1.0869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
398	103.1533	95.8452	87.3449	75.5902	65.0149	57.2975	52.6233	49.7024	47.0516	46.8957	47.891	50.146	51.2282	50.9213	48.9533	46.2095	43.329	39.5135	35.2041	30.8897	26.5469	23.0654	19.318	15.5249	12.1807	9.1091	6.3121	3.8168	2.1978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400	108.3418	99.4836	90.0752	79.7138	68.8047	60.8302	53.9599	50.8261	48.9089	49.2274	49.5439	51.5001	51.9743	52.631	51.8493	48.6683	45.157	41.5329	36.6381	33.1809	28.1706	24.4998	20.6412	16.9069	13.6216	10.4545	7.4681	4.5691	2.9518	0.9219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
402	114.142	107.6314	92.3334	80.9006	72.0081	63.0407	56.5347	51.0881	49.5458	49.2939	51.2706	53.8473	54.9176	54.6729	53.506	51.1686	47.8623	43.5931	39.2856	35.1237	30.2519	25.88	21.9177	18.407	15.0273	11.736	8.7286	5.6675	3.5748	1.7922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
404	114.7839	108.5499	94.7723	83.9528	74.4704	66.7992	58.7643	53.5784	51.9539	50.3453	54.4422	55.7429	56.3442	57.112	55.9574	53.6659	50.4368	45.3504	41.6772	37.2847	32.3962	27.2453	23.3423	19.8915	16.4184	12.9496	9.7219	6.7443	4.1572	2.7207	0.3885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
406	121.637	105.9918	96.9102	87.9645	76.1958	68.0559	60.4422	57.0349	53.085	53.3485	53.1925	56.725	58.3844	58.0909	57.8562	55.6103	51.4912	47.6513	43.5439	38.7382	34.326	28.6493	24.8788	21.3094	17.7658	14.1769	10.9585	7.7742	5.0731	3.3485	1.1246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
408	126.4613	114.2988	102.5306	92.839	80.9626	71.2608	63.0519	57.9519	55.3393	54.9091	56.2588	57.8065	60.6228	61.2439	59.8994	57.4481	53.4414	50.2396	46.2898	41.1622	35.9895	31.7561	26.455	22.7608	19.0154	15.4252	11.9311	8.754	6.0119	3.9933	2.0491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
410	127.9055	117.8576	105.4435	94.5232	84.3163	72.2933	65.5251	59.2752	57.4532	56.1459	58.4819	60.6375	62.2122	63.1739	62.6358	60.6109	55.8253	52.6283	47.7211	43.2974	38.1258	33.9039	28.0273	24.082	20.2617	16.7961	13.2155	10.1413	6.987	4.4689	2.8422	0.878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
412	137.6231	122.2361	107.2924	94.5499	84.8616	77.1724	68.0706	62.1155	59.7545	57.4454	58.6121	61.6704	62.655	65.0727	63.6026	62.8193	58.6953	54.5525	49.8572	45.6595	40.8392	35.9364	29.5981	25.4666	21.7591	18.2906	14.4976	11.3155	8.1571	5.4014	3.6671	1.8169	0	0.0002	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
414	134.7478	121.3268	105.0809	97.9855	88.1523	76.1058	68.016	62.6913	60.389	58.9865	60.7289	63.3496	65.14	65.9849	66.1968	64.1187	60.5159	56.8764	51.815	47.741	42.9097	37.1913	31.7551	26.9761	23.2531	19.5642	15.7767	11.9716	8.8044	6.003	4.2152	2.4896	0.3706	0.0005	0.0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
