Description	Scan series EEM_1.prn through EEM_53.prn																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	3/5/2013 16:03																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	6																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
350	55.9674	44.4236	35.48	28.0522	22.3643	19.287	17.98	16.7413	16.0702	15.0307	14.1092	13.0699	10.5367	9.243	7.5969	5.4166	3.3447	1.6077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
352	48.8914	43.0097	38.1541	28.9583	23.2758	18.5308	17.9083	17.4081	16.7297	15.3232	15.2244	13.4812	12.096	10.0654	8.2528	6.2675	4.2499	2.2318	0.7761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
354	53.0575	48.5709	38.6121	29.336	24.1825	19.5678	17.995	17.9048	17.269	16.9718	15.159	13.7975	13.2152	10.8309	8.9937	7.0654	5.3508	3.5514	1.782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
356	47.5496	49.1146	37.8383	30.7127	23.3315	21.1505	19.8184	18.3223	18.2062	17.1673	16.1463	15.6163	14.231	11.5792	9.9567	8.3224	6.6268	4.812	3.0098	0.6648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
358	53.2812	42.5972	38.9014	32.153	24.6598	21.8026	20.4542	19.542	18.7816	17.4887	16.3287	16.0097	14.9597	12.9561	11.1363	9.5425	7.8163	6.0276	4.195	1.8585	0.557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
360	49.8571	49.0789	40.5988	34.4648	26.4331	22.5992	19.9344	19.3908	19.9544	18.9463	17.8062	17.0991	16.4713	14.3849	12.2554	10.6581	8.9481	7.186	5.4287	3.2644	0.9114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
362	51.6668	51.8197	42.149	35.706	27.0372	24.2749	22.6326	20.3468	20.1826	19.5993	18.3763	17.6987	17.6349	15.9418	13.4082	11.776	10.0792	8.4514	6.6503	4.2735	2.2501	0.4686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
364	61.7966	51.3338	44.3957	37.8975	29.4378	24.9521	22.7972	22.1827	21.565	20.4038	19.9095	19.1254	18.297	16.6622	15.4011	12.8541	11.171	9.8823	7.8315	5.5196	3.1779	1.5157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
366	56.1605	56.0961	46.6485	35.3617	30.3695	25.196	23.8913	22.9297	22.4705	20.9015	21.402	20.7295	19.2898	18.4286	16.9303	13.9038	12.4383	11.2733	8.9796	6.7313	4.2545	2.0219	0.4769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
368	66.1689	52.6424	49.7535	39.5442	31.3259	26.7137	26.3712	23.7845	23.2449	22.5803	21.7316	21.1499	21.124	20.1016	18.3501	14.9282	13.7744	12.3644	10.1101	7.9104	5.6352	2.7557	0.7902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
370	58.9447	56.2764	48.1446	41.341	32.912	28.8908	26.1866	25.0794	24.5536	23.9153	23.3629	22.412	22.228	21.2577	19.6908	17.3013	15.0665	13.4189	11.2284	9.0522	6.8688	3.9059	1.6646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
372	70.0605	60.0438	51.3919	42.7854	35.9606	29.8581	26.7445	25.8183	26.3446	24.9982	24.2383	24.0051	23.7056	22.4817	20.9279	19.4015	16.3982	14.5352	12.3723	10.4606	8.0867	4.8243	2.679	0.9605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
374	73.0841	62.0562	53.5958	45.112	36.0749	32.5185	29.1019	27.6115	27.557	26.5365	26.1243	25.245	25.3081	24.1122	23.1168	20.6993	17.701	15.8911	13.9932	12.0887	9.2793	6.3225	3.4726	1.6095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
376	67.5453	62.8108	56.7378	44.2945	38.8293	32.2778	30.1292	28.3576	26.9253	27.0538	27.4354	26.9765	26.8627	26.5061	24.8386	22.9136	19.4362	17.4519	15.5664	13.302	10.4376	7.4959	4.3272	2.6451	0.3907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
